text,label,source
flash sale | limited time only shop now,1,yada
pillowcases & shams,0,yada
write a review,0,yada
"to start your return, simply click on the following button and add your return details. once the form is filled, you will receive an email with shipping instructions for how to ship the item(s) to our warehouse.",0,yada
newsletter signup (privacy policy),0,yada
in demand,1,yada
"we cannot guarantee door to door delivery for every customer. buyers in remote areas such as farms, islands, mining camps, small towns, or out-of-towners, etc may need to collect from their nearest freight depot.",0,yada
hurry! only 2 left in stock,1,yada
in stock only 3 left,1,yada
international shipping policy,0,yada
"clothes, shoes & accessories",0,yada
hurry! only 2 left,1,yada
primary arms scopes,0,yada
only 8 left,1,yada
motrail,0,yada
lcd ribbon cables,0,yada
ready for your next authentic nhl jersey?,0,yada
our best selling goggle,1,yada
"1,142 people have added to cart recently",1,yada
limited availability,1,yada
no thanks. i don't like free things...,1,yada
read you will want to read -- five book group favourites * sunday post *,0,yada
supply & demand,0,yada
"michael in pontiac, united states purchased a",1,yada
bathroom lighting,0,yada
shop optics >,0,yada
9 people are viewing this.,1,yada
"894 claimed! hurry, only a few left!",1,yada
77 people like this,1,yada
girls trousers,0,yada
specs,0,yada
4 items left,1,yada
hurry! exclusive deal for you! 1 4 : 4 5,1,yada
offer ends in,1,yada
"another babe in alexandria, united states just ordered flat tummy tea",1,yada
someone in boling iago texas united states purchased seek discomfort sketch white iphone case 5 hours ago,1,yada
more info,0,yada
daystate fac air rifles,0,yada
"keyboard navigation profile (motor-impaired): this profile enables motor-impaired persons to operate the website using the keyboard tab, shift+tab, and the enter keys. users can also use shortcuts such as “m” (menus), “h” (headings), “f” (forms), “b” (buttons), and “g” (graphics) to jump to specific elements.",0,yada
24 sold in last 24 hours.,1,yada
#certified_face_masks,0,yada
shop the look,0,yada
kicks remotes,0,yada
only 7 left in stock.,1,yada
whey protein isolate,0,yada
cases for magsafe refine by product type: cases for magsafe,0,yada
product info,0,yada
someone from norway purchased a super fg grater - 12x faster - 15% off,1,yada
sign in with google,0,yada
shop all,0,yada
you can change your preference here shop for select an age,0,yada
1 in stock,1,yada
low stock alert: only 8 left in inventory,1,yada
womens platform shoes,0,yada
screen print graphics,0,yada
"ibkul solid mock neck half zip pullover purchased from clinton, md, us 1 minute ago",1,yada
thin and tough - protects from minor scratches,0,yada
kimberly r.,0,yada
i don't feel lucky,1,yada
only 3 items left,1,yada
butterscotch cakes,0,yada
"someone in saint kilda, victoria purchased frank queen size bed base",1,yada
awntech new yorker window/entry slope awnin ...,0,yada
45 added to bag in the past 24 hours,1,yada
87% offers claimed. hurry up!,1,yada
hurry! £32.99 uk delivery ends soon,1,yada
only 3 left,1,yada
8 items left,1,yada
19 people viewed this product per day,1,yada
irwin,0,yada
96 item(s) left in stock!,1,yada
__________,0,yada
only 1 left in stock,1,yada
availability: only 4 left!,1,yada
personalised gifts,0,yada
a customer service specialist will contact you soon.,0,yada
your order is reserved for 09:54 minutes!,1,yada
screws & other fixings,0,yada
use the domain shortly after payment,0,yada
office supplies & decor,0,yada
this size has only 1 left in stock,1,yada
arrow,0,yada
returns an item,0,yada
hot product over 250 people are looking at this item.,1,yada
i don't want to save money,1,yada
hurry! only 2 left in stock!,1,yada
hair type: curly,0,yada
deal ends in 40:55:13,1,yada
someone bought: hype blue large splat kids leggings,1,yada
only 1 left,1,yada
search for similiar products,0,yada
only 33 left,1,yada
family shade pack | pick your pack,0,yada
promaster city remotes,0,yada
"hurry, only a few left!",1,yada
v&a collection people tree’s collaboration with the victoria and albert museum offers a stylish and contemporary capsule collection which celebrates the beauty and variety of pattern which the london museum is renowned for.,0,yada
only 11 left!,1,yada
hurry! only 6 left in stock,1,yada
40 users are currently active on our website just now.,1,yada
hair tools,0,yada
email address*,0,yada
send us your jersey,0,yada
view all home office furniture,0,yada
search result:search results:,0,yada
90% offers claimed. hurry up!,1,yada
tube tops,0,yada
"mitchell h. purchased a dimplex ignitexl 100"" linear built in electric fireplace",1,yada
hair type: wavy,0,yada
7 people looked at this product in the last 24 hours.,1,yada
glow gear,0,yada
18 in stock,1,yada
someone in new lynn bought a kogan a1 earphones with inline control for ios/android 1 hour ago.,1,yada
00:15:07:45,1,yada
"no, i'll rather pay full price.",1,yada
only 9 left.,1,yada
deals of the week,0,yada
"... it covers love and loss, friendship and pain through",0,yada
1 person is viewing this,1,yada
your order is reserved for 09:14 minutes!,1,yada
"gift typeflowers, cakes, plants, etc.",0,yada
camilla world,0,yada
sweep train simple a line tulle wedding dress with appliques and beading,0,yada
fun treat tossing,0,yada
limited time remaining!,1,yada
"no thanks, i'll pay full price",1,yada
your shopping bag is empty...,0,yada
trousers & chinos,0,yada
only 7 left in stock!,1,yada
only 5 item(s) left.,1,yada
chargers,0,yada
(only 5 left),1,yada
eyelashes,0,yada
pick the price that matches your budget.,0,yada
"bringing the latest footwear, ‘fits and accessories from the biggest brands, the jd app makes coppin’ the hottest looks even easier!",0,yada
child safety,0,yada
cosmic rainbow,0,yada
nra annual meetings & exhibits,0,yada
shoesbootscasual shoesformal shoessandals & flip-flopsshoe care & accessoriesslipperssneakers & canvassports shoes,0,yada
moonstone beads,0,yada
i'll shop without a discount,1,yada
only 11 left in stock,1,yada
netherlands antilles usd,0,yada
was this product description useful?yesno,0,yada
returns information,0,yada
tiestoys & gamestravelwatches,0,yada
bought by 39 people in last few hours! hot seller!,1,yada
books and stationery,0,yada
your order is reserved for 08:48 minutes!,1,yada
11 11 hours: 00 22 minutes: 3223 3223 seconds,1,yada
bioactive custodians,0,yada
most-hearted styles shop now,0,yada
use a clean vase and clean water.,0,yada
"well, this is awkward.",0,yada
@elsieandpresley_ got some fantastic color results with our hair color wax. well done 👏,0,yada
all licensed,0,yada
nursing chairs,0,yada
only 1 item(s) left,1,yada
discount pending $10 off 00:30:00,1,yada
juniors' shoes,0,yada
limited time: $10 off! discount reflected in price!,1,yada
switchers,0,yada
data processor privacy policy: https://cookieinformation.com/cookie-and-privacy-policy,0,yada
ribbons,0,yada
"by clicking sign up, you agree to receive marketing text messages from southern tide at the number provided, including messages sent by autodialer. consent is not a condition of any purchase. message and data rates may apply. message frequency varies. reply help for help or stop to cancel. view our privacy policy and terms of service.",0,yada
in 43 people's shopping bag,1,yada
amethyst beads,0,yada
down jackets,0,yada
hurry up! prices increase in 0 days 11 hrs 59 mins 55 secs,1,yada
